Allowed: 172.64.155.209:443 -> 172.16.63.134:65102 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65102 -> 172.64.155.209:443 | Protocol: TCP | Location: N/A
Allowed: 172.64.155.209:443 -> 172.16.63.134:65102 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.124:64848 -> 255.255.255.255:161 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.124:64849 -> 255.255.255.255:161 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.154:54476 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.14:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.83:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:65220 -> 13.107.246.48:443 | Protocol: TCP | Location: N/A
Allowed: 13.107.246.48:443 -> 172.16.63.134:65220 | Protocol: TCP | Location: N/A
Allowed: 10.10.91.156:34005 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.152:46498 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.187:56409 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.200:43979 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.157:57149 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.60.197:39964 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 100.29.175.103:443 -> 172.16.63.134:63165 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:63165 -> 100.29.175.103:443 | Protocol: TCP | Location: N/A
Allowed: 172.16.49.160:42403 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:61625 -> 172.253.118.188:5228 | Protocol: TCP | Location: N/A
Allowed: 172.253.118.188:5228 -> 172.16.63.134:61625 | Protocol: TCP | Location: N/A
Allowed: 172.16.62.101:41858 -> 239.255.255.250:1900 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.113:40288 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.50:43364 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.204:59167 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.40:48713 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 34.120.52.64:443 -> 172.16.63.134:61520 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:61520 -> 34.120.52.64:443 | Protocol: TCP | Location: N/A
Allowed: 34.120.52.64:443 -> 172.16.63.134:61520 | Protocol: TCP | Location: N/A
Allowed: 10.10.91.153:42680 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.59.198:59595 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.202:59746 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.197:46771 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.181:57164 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.100:43529 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.5:37539 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.199:46195 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.151:39250 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:65198 -> 52.37.194.247:443 | Protocol: TCP | Location: N/A
Allowed: 52.37.194.247:443 -> 172.16.63.134:65198 | Protocol: TCP | Location: N/A
Allowed: 100.29.175.103:443 -> 172.16.63.134:63166 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:63166 -> 100.29.175.103:443 | Protocol: TCP | Location: N/A
Allowed: 10.10.91.155:35764 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.147:33733 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.82:59628 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.114:55142 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.102:1900 -> 239.255.255.250:1900 | Protocol: UDP | Location: N/A
