Blocked Port: 10.10.91.153:50151 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.63.134:62746 -> 142.251.175.188:5228 | Protocol: TCP
Blocked Port: 142.251.175.188:5228 -> 172.16.63.134:62746 | Protocol: TCP
Blocked Port: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP
Blocked Port: 172.16.61.202:38336 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP
Blocked Port: 172.16.51.40:38047 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.61.204:41352 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.49.160:36046 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.61.199:48466 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP
Blocked Port: 172.16.48.1:67 -> 255.255.255.255:68 | Protocol: UDP
Blocked Port: 172.16.62.200:52438 -> 224.0.0.252:5355 | Protocol: UDP
Blocked Port: 172.16.62.200:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.62.200:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.62.200:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.62.200:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.62.200:60489 -> 224.0.0.252:5355 | Protocol: UDP
Blocked Port: 100.29.175.103:443 -> 172.16.63.134:63165 | Protocol: TCP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.62.5:39408 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.61.197:54517 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.90.151:36243 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 10.10.91.155:42364 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP
Blocked Port: 172.16.51.147:44431 -> 255.255.255.255:10001 | Protocol: UDP
Blocked (DoS Detected): 172.16.63.134:51774 -> 142.250.192.238:443 | Protocol: UDP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:50319 -> 8.8.8.8:53 | Protocol: UDP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49405 -> 54.148.181.121:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49405 -> 54.148.181.121:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49405 -> 54.148.181.121:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49405 -> 54.148.181.121:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49405 -> 54.148.181.121:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49406 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49406 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49406 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49406 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49406 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49406 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:51774 -> 142.250.192.238:443 | Protocol: UDP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49406 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49405 -> 54.148.181.121:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49405 -> 54.148.181.121:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:51774 -> 142.250.192.238:443 | Protocol: UDP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49406 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49406 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49407 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49407 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49407 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49407 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49407 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49407 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:51774 -> 142.250.192.238:443 | Protocol: UDP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49407 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49407 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49671 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49671 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49671 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49671 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49671 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:49671 -> 34.117.59.81:443 | Protocol: TCP | Location: None, None, None (None)
Blocked (DoS Detected): 172.16.63.134:51774 -> 142.250.192.238:443 | Protocol: UDP | Location: None, None, None (None)
