2025-03-18 13:38:21.334671 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.348913 - 10.10.90.94 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:21.348913 - 10.10.90.113 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:21.348913 - 34.117.59.81 -> 172.16.63.134 | Protocol: TCP | Port: 53669
2025-03-18 13:38:21.348913 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.394894 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.409692 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.427652 - 34.117.59.81 -> 172.16.63.134 | Protocol: TCP | Port: 53669
2025-03-18 13:38:21.432030 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.437381 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.441391 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.443504 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.447495 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.448502 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.457925 - 34.117.59.81 -> 172.16.63.134 | Protocol: TCP | Port: 53669
2025-03-18 13:38:21.493321 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.494278 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.501276 - 34.117.59.81 -> 172.16.63.134 | Protocol: TCP | Port: 53669
2025-03-18 13:38:21.505282 - 34.117.59.81 -> 172.16.63.134 | Protocol: TCP | Port: 53669
2025-03-18 13:38:21.508887 - 34.117.59.81 -> 172.16.63.134 | Protocol: TCP | Port: 53669
2025-03-18 13:38:21.719889 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.839066 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:21.890987 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:22.100453 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:22.144381 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:22.171205 - 10.10.91.155 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:22.208320 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
2025-03-18 13:38:22.275125 - 172.16.62.166 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:22.276129 - 10.10.91.156 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:22.331413 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:22.550820 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:22.578185 - 10.10.91.157 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:22.656718 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:22.775587 - 10.10.91.154 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:22.787041 - 10.10.90.97 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:22.825998 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:23.033299 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:23.274029 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:23.397912 - 10.10.90.152 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:23.506104 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:23.614699 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
2025-03-18 13:38:23.711037 - 10.10.90.205 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:23.716040 - 192.168.160.58 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:23.718996 - 192.168.160.57 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:23.722694 - 192.168.160.59 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:23.739632 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:23.806278 - 0.0.0.0 -> 255.255.255.255 | Protocol: UDP | Port: 67
2025-03-18 13:38:23.806278 - 10.10.90.100 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:23.806278 - 192.168.161.87 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:23.975187 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:24.017979 - 172.16.14.133 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:24.021982 - 192.168.160.58 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:24.026317 - 192.168.161.97 -> 239.255.255.250 | Protocol: UDP | Port: 37020
